item,order_frequency,total_qty_sold,restaurant,avg_bill_when_present,solo_order_count,multi_order_count,solo_order_ratio,popularity_rank,avg_price_proxy,peak_meal_period
Carribean Jerk Boneless Grilled Chicken Breast,17,18,Tandoori Junction,1216.3529411764705,9,8,0.5294117647058824,124,673.6078431372548,dinner
Carribean Jerk Grilled Chicken Quarter,10,10,Tandoori Junction,980.924,3,7,0.3,140,556.5286666666667,late_night
Carribean Jerk Grilled Chicken Tangdi (4pcs),4,4,Tandoori Junction,876.25,3,1,0.75,170,714.0,late_night
Carribean Jerk dip,2,2,Tandoori Junction,843.5,0,2,0.0,189,281.1666666666667,dinner
Cheesy Garlic Bread,1155,1336,Aura Pizzas,918.6921212121212,243,912,0.21038961038961038,7,366.2774036506063,dinner
Cheesy Veg Burger,8,8,Dilli Burger Adda,849.125,0,8,0.0,146,335.95833333333337,dinner
Chicken 65 Boneless Grilled Chicken Breast,33,35,Tandoori Junction,936.060606060606,20,13,0.6060606060606061,100,666.6717171717171,dinner
Chicken 65 Grilled Chicken Quarter,3,4,Tandoori Junction,1098.25,1,3,0.3333333333333333,180,624.0,dinner
Chicken 65 Grilled Chicken Tangdi (4pcs),2,2,Tandoori Junction,699.0,2,0,1.0,189,699.0,late_night
Chicken 69,4,4,Dilli Burger Adda,833.0,0,4,0.0,170,306.6041666666667,dinner
Chicken Pepperoni Pizza,272,289,Aura Pizzas,1098.98375,59,213,0.21691176470588236,41,498.1823721988795,dinner
Chicken Smashed Burger,11,12,Dilli Burger Adda,716.0954545454546,5,6,0.45454545454545453,135,353.64507575757574,dinner
Chicken Smashed Burgers .,2,2,Dilli Burger Adda,679.0,1,1,0.5,189,339.66666666666663,dinner
Chicken Smashed Double Burger,2,2,Dilli Burger Adda,1008.525,0,2,0.0,189,336.17499999999995,late_night
Chilli Cheese Garlic Bread,1749,1932,Aura Pizzas,885.0541485714285,416,1334,0.23785020011435107,2,360.7000656099773,dinner
Chilli Cheese Garlic Bread .,4,4,Aura Pizzas,1097.25,0,4,0.0,170,438.5,snack
Chocolate Walnut Brownie,6,8,Aura Pizzas,801.04,1,5,0.16666666666666666,158,273.4827777777778,late_night
Classic Bacon Melt Tenderloin Burger,17,17,Dilli Burger Adda,740.0,6,11,0.35294117647058826,124,390.0098039215686,dinner
Classic Bacon Melt Tenderloin Burger .,1,1,Dilli Burger Adda,1018.0,0,1,0.0,215,339.3333333333333,dinner
Coleslaw,28,34,Swaad,789.0732142857142,8,20,0.2857142857142857,107,303.7482142857143,dinner
Combo For 1,2,2,Swaad,475.0,2,0,1.0,189,475.0,dinner
Combo For 1 - Non Veg,9,12,Aura Pizzas,1039.0916666666667,1,11,0.1111111111111111,143,460.69750000000005,dinner
Combo For 1 - Veg,9,10,Aura Pizzas,778.1166666666667,5,4,0.5555555555555556,143,566.687037037037,dinner
Combo for 2 - Non Veg,4,4,Aura Pizzas,1315.0,4,0,1.0,170,1315.0,late_night
Combo for 2 - Veg,1,1,Aura Pizzas,1910.0,1,0,1.0,215,1910.0,dinner
Combo for 4 - Veg,1,1,Aura Pizzas,2440.0,1,0,1.0,215,2440.0,snack
